oid,code,libelle,surf_m2
97653,2111,Terres arables,77708
97655,2111,Terres arables,373892
97656,2111,Terres arables,36745
97657,2111,Terres arables,57844
97658,2111,Terres arables,7482
97659,2111,Terres arables,39819
97660,2111,Terres arables,167000079
97661,2111,Terres arables,79773
97662,2111,Terres arables,15156
97663,2111,Terres arables,24456
97664,2111,Terres arables,10633
97665,2111,Terres arables,427331
97666,2111,Terres arables,27576
97717,2111,Terres arables,106830
97667,2111,Terres arables,183689
97668,2111,Terres arables,21584
97669,2111,Terres arables,31841
97670,2111,Terres arables,32512
97671,2111,Terres arables,21696
97672,2111,Terres arables,319413
97673,2111,Terres arables,1008936
97674,2111,Terres arables,247810
97675,2111,Terres arables,15249
97676,2111,Terres arables,4361
97739,2111,Terres arables,107146
98161,2111,Terres arables,6814
97677,2111,Terres arables,945908
97678,2111,Terres arables,367146
97679,2111,Terres arables,537319
97680,2111,Terres arables,63996
97681,2111,Terres arables,78676
97697,2111,Terres arables,642880
97698,2111,Terres arables,85706
97682,2111,Terres arables,1870343
97683,2111,Terres arables,152711
97684,2111,Terres arables,121998
97685,2111,Terres arables,17592
97686,2111,Terres arables,37004
97687,2111,Terres arables,58420
97688,2111,Terres arables,5262
97699,2111,Terres arables,34609
97700,2111,Terres arables,2626
97701,2111,Terres arables,16428
97702,2111,Terres arables,32734
97703,2111,Terres arables,41663
97873,2111,Terres arables,53131
97689,2111,Terres arables,1444859
97690,2111,Terres arables,103076
97691,2111,Terres arables,7894
97692,2111,Terres arables,326666
97693,2111,Terres arables,10792
97694,2111,Terres arables,17059
97695,2111,Terres arables,7113
97704,2111,Terres arables,617559
97705,2111,Terres arables,451439
97706,2111,Terres arables,13050
97707,2111,Terres arables,99069
97708,2111,Terres arables,203933
97709,2111,Terres arables,92637
97710,2111,Terres arables,775907
97711,2111,Terres arables,25680
97712,2111,Terres arables,32984
97713,2111,Terres arables,12668
97714,2111,Terres arables,12989
97718,2111,Terres arables,615911
97719,2111,Terres arables,149695
97720,2111,Terres arables,35856
97721,2111,Terres arables,31552
97722,2111,Terres arables,7550
97723,2111,Terres arables,79055
97724,2111,Terres arables,209833
97725,2111,Terres arables,255845
97726,2111,Terres arables,88091
97727,2111,Terres arables,8402
97728,2111,Terres arables,87959
97729,2111,Terres arables,8702
97730,2111,Terres arables,124990
97731,2111,Terres arables,338084
97732,2111,Terres arables,26910
97733,2111,Terres arables,194832
97734,2111,Terres arables,22028
97740,2111,Terres arables,1639496
97741,2111,Terres arables,109771
97742,2111,Terres arables,207817
97743,2111,Terres arables,25267
97896,2111,Terres arables,35242
97735,2111,Terres arables,1078011
97736,2111,Terres arables,23650
97737,2111,Terres arables,24537
97738,2111,Terres arables,160346
97785,2111,Terres arables,7522
102778,2111,Terres arables,23218
97744,2111,Terres arables,140462
97745,2111,Terres arables,22673
97746,2111,Terres arables,22753
97747,2111,Terres arables,24783
97748,2111,Terres arables,7891
97749,2111,Terres arables,6874
