OBJECTID,MOBILIER,ID_MOBILIE,COMMUNE,NOM_PARC,ACQUISITIO,TYPE,GlobalID
136,TABLE,TA8,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",0505696f-356c-49c0-8db1-1a6bade8bc9b
137,POUBELLE,PB26,BRIARE,Trousse-Bois,Relevé terrain,Borne carrée 100 litres,beb333d0-1296-4446-b0d3-525bd01760a6
138,BANC,BN52,BRIARE,Trousse-Bois,Relevé terrain,"Bois artisanal, avec dossier 1 planche",f66ac0f3-a6e4-40a5-8b6a-09cfdf9f238c
139,PASSERELLE,PA4,BRIARE,Trousse-Bois,Relevé terrain,Passerelle en bois avec garde corps en bois,16770f05-8f6e-4f99-939b-974051def7dc
140,POUBELLE,PB22,BRIARE,Trousse-Bois,Relevé terrain,Borne carrée 100 litres,1b82d34c-3d8c-4613-bf85-356155bff92b
141,POUBELLE,PB23,BRIARE,Trousse-Bois,Relevé terrain,Buse ronde,8d7e9c04-db91-4a89-84bb-4ad603c721a1
142,BARRIERE,BR9,BRIARE,Trousse-Bois,Relevé terrain,"Fixe 2 m court, carré 2 points d'appui",f8f0e809-039f-4850-9c76-cb88caebfc1a
143,TABLE,TA19,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",aa6732e1-446f-40c8-a191-ed838d9a9a89
144,POTEAU,PT13,BRIARE,Trousse-Bois,Relevé terrain,"Poteau rond, diam 12 cm, long 1 m",460a26a1-615d-465c-b1ab-a41e2471cf5d
145,POTEAU,PT14,BRIARE,Trousse-Bois,Relevé terrain,"Poteau rond, diam 15 cm, long 1 m",2a7f6ca7-f0aa-4157-9562-a2ebd14a5748
146,POUBELLE,PB24,BRIARE,Trousse-Bois,Relevé terrain,Borne carrée 100 litres,5fbddfd4-5ad3-4cc5-9867-40519f221380
147,TABLE,TA20,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",51244100-b258-4396-bb8c-1518f1964aaf
148,BARRIERE,BR10,BRIARE,Trousse-Bois,Relevé terrain,"Pivotante 4 m, 3 points d'appui",7e0d8bc7-6398-4033-83de-4175c4af0361
149,BARRIERE,BR11,BRIARE,Trousse-Bois,Relevé terrain,"Pivotante 4 m, 3 points d'appui",12f84667-c9c8-43db-b465-e9eff96d7125
150,BARRIERE,BR12,BRIARE,Trousse-Bois,Relevé terrain,"Coulissante 4 m, 2 points d'appui",da4256ac-646e-4f49-833c-cd2dc4f92d69
151,BARRIERE,BR13,BRIARE,Trousse-Bois,Relevé terrain,"Fixe 4 m, 2 pieds carrés",7350bb30-a9b6-411d-bc99-d9f2bc1c7718
152,BANC,BN57,BRIARE,Trousse-Bois,Relevé terrain,"Bois et acier, double assise",b6795941-bf19-49d8-9af8-465b026e6afc
153,TABLE,TA13,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",7dd0692e-9db9-4a5a-9654-1343c10b23a0
154,POUBELLE,PB27,BRIARE,Trousse-Bois,Relevé terrain,Buse ronde,3ead33df-a8be-484c-834a-3f5b8985662c
155,TABLE,TA12,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",c76a3cd4-8d3b-4b2f-b303-440600b66ebf
156,TABLE,TA11,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",64362b7d-8f1d-4fc4-9b72-d7612101ea08
157,TABLE,TA10,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",96acb0d1-8c65-4e91-8ff4-4c8286f71a2a
158,POUBELLE,PB28,BRIARE,Trousse-Bois,Relevé terrain,Buse ronde,40e3ecc3-5ddd-4c9d-ae5c-60315aa47362
159,TABLE,TA9,BRIARE,Trousse-Bois,Relevé terrain,"Bois, 2 bancs longs",17a2b498-de0f-4c42-9e00-bf459934619f
160,POUBELLE,PB29,BRIARE,Trousse-Bois,Relevé terrain,Borne carrée 100 litres,ffda1766-0765-4ae2-a74f-3130b28f9fac
161,POUBELLE,PB30,BRIARE,Trousse-Bois,Relevé terrain,Borne carrée 100 litres,64f54af3-8efb-423d-bb25-7d19cce026ff
162,BANC,BN53,BRIARE,Trousse-Bois,Relevé terrain,"Bois, avec dossier 1 planche",afa55920-5f12-49d5-b3bc-ec3053e0d16a
163,AGRE,AG1,BRIARE,Trousse-Bois,Relevé terrain,Agré,3537412e-a437-4cd8-a4c2-e986572ae623
