code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,LE VERDON-SUR-MER,MAIRIE - SALLE D'HONNEUR 1, Le Verdon-sur-Mer,,,45.5431,-1.06374
33,,LE VERDON-SUR-MER,SALLE GUGUEN 2, Le Verdon-sur-Mer,,,45.5455,-1.06282
33,,BARON,MAIRIE 1,,,,,
33,,BRANNE,MAIRIE 1,,,,,
33,,CABARA,MAIRIE 1,,,,,
33,,CAMIAC-ET-SAINT-DENIS,MAIRIE 1,,,,,
33,,DAIGNAC,MAIRIE 1,,,,,
33,,DARDENAC ,MAIRIE 1,,,,,
33,,ESPIET,MAIRIE 1,,,,,
33,,GENISSAC,FOYER COMMUNAL 1,,,,45.363,-0.975793
33,,GENISSAC,FOYER COMMUNAL 2, Génissac,,,44.8563,-0.258409
33,,GREZILLAC,MAIRIE 1,,,,,
33,,GUILLAC,MAIRIE 1,,,,,
33,,JUGAZAN,MAIRIE 1,,,,,
33,,LUGAIGNAC,MAIRIE 1,,,,,
33,,MOULON,MAIRIE 1,,,,,
33,,NAUJAN-ET-POSTIAC,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,NERIGEAN,MAIRIE 1,,,,,
33,,SAINT-AUBIN-DE-BRANNE,MAIRIE 1,,,,,
33,,SAINT-GERMAIN-DU-PUCH,ECOLE PRIMAIRE 1,,,,45.1291,-0.661366
33,,SAINT-GERMAIN-DU-PUCH,MAIRIE 2,,,,,
33,,SAINT-QUENTIN-DE-BARON ,SALLE MUNICIPALE 1,,,,44.6742,0.109641
33,,SAINT-QUENTIN-DE-BARON ,SALLE MUNICIPALE 2,,,,,
33,,TIZAC-DE-CURTON,MAIRIE 1,,,,,
33,,BELVES-DE-CASTILLON,MAIRIE 1,,,,,
33,,CASTILLON-LA-BATAILLE,SECTEUR EST 1, Castillon-la-Bataille,,,44.8556,-0.0406811
33,,CASTILLON-LA-BATAILLE,SECTEUR OUEST 2, Castillon-la-Bataille,,,44.8556,-0.0406811
33,,GARDEGAN-ET-TOURTIRAC,MAIRIE 1,,,,,
33,,SAINTE-COLOMBE,SALLE ADMINISTRATIVE 1,,,,,
33,,SAINT-ETIENNE-DE-LISSE,MAIRIE 1,,,,,
33,,SAINT-GENES-DE-CASTILLON,MAIRIE 1,,,,,
33,,SAINT-HIPPOLYTE,MAIRIE 1,,,,,
33,,SAINT-LAURENT-DES-COMBES,MAIRIE 1,,,,,
33,,SAINT-MAGNE-DE-CASTILLON,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,SAINT-MAGNE-DE-CASTILLON,SALLE POLYVALENTE 2,,,,45.1399,-0.411564
33,,SAINT-PEY-D'ARMENS,MAIRIE 1,,,,,
