Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
25617,PROFESSIONNEL,RIMONS,21/02/2013,15:41:00,CARTON,"1,00"
24817,PARTICULIER,RIMONS,21/02/2013,16:16:00,GRAVATS,"1,00"
24681,PARTICULIER,RIMONS,21/02/2013,16:54:00,DECHETS VERTS,"1,00"
27549,PARTICULIER,RIMONS,21/02/2013,17:01:00,GRAVATS,"1,00"
25167,PARTICULIER,RIMONS,21/02/2013,17:13:00,GRAVATS,"1,00"
25365,PARTICULIER,SAUVETERRE DE GUYENNE,21/02/2013,09:15:00,DECHETS VERTS,"0,00"
24022,PROFESSIONNEL,SAUVETERRE DE GUYENNE,21/02/2013,09:29:00,DECHETS VERTS,"0,00"
24769,PARTICULIER,SAUVETERRE DE GUYENNE,21/02/2013,09:56:00,DECHETS VERTS,"0,00"
28360,PARTICULIER,SAUVETERRE DE GUYENNE,21/02/2013,10:35:00,DECHETS VERTS,"0,00"
05022,PARTICULIER,SAUVETERRE DE GUYENNE,21/02/2013,10:40:00,DECHETS VERTS,"0,00"
